year,course,title,,
year 1,computer science,Fundamentals of Computing,,
year 1,computer science,Discrete Structures I,,
year 1,computer science,Electrical Principles,,
year 1,computer science,Electronics,,
year 1,computer science,Basic Calculus,,
year 1,computer science,Introduction to Programming ,,
year 1,computer science,Programming in C                  ,,
year 1,computer science,Communication Skills,,
year 1,computer science,Linear Algebra                       ,,
year 1,computer science,Object Oriented programming ,,
year 1,computer science,Discrete Structures II,,
year 1,computer science,Digital Electronics 1              ,,
year 1,computer science,Introduction to Internet Technologies,,
year 1,computer science,Databases Systems,,
year 1,computer science, Introduction to Spreadsheets ,,
year 1,computer science,HIV/AIDS,,
year 1,Computer technology,Fundamentals of Computing,,
year 1,Computer technology,Discrete Structures I,,
year 1,Computer technology,Electric Circuits I,,
year 1,Computer technology,Electronics ,,
year 1,Computer technology,Engineering Mathematics I,,
year 1,Computer technology,Programming in C,,
year 1,Computer technology,Computer Aided Drawing and Design,,
year 1,Computer technology,Communication Skills,,
year 1,Computer technology,Object Oriented programming in Java ,,
year 1,Computer technology,Discrete Structures II                         ,,
year 1,Computer technology,Digital Logic Circuits                             ,,
year 1,Computer technology,Digital Logic Circuits Lab,,
year 1,Computer technology,Electronics II,,
year 1,Computer technology,Electric Circuits II,,
year 1,Computer technology,HIV / AIDS,,
year 1,Computer technology,Engineering Mathematics II                    ,,
year 1,ICTM,Business Organization,,
year 1,ICTM,Business Mathematics,,
year 1,ICTM,Business Communication Skills,,
year 1,ICTM,Self-Management and Leadership,,
year 1,ICTM,Introduction to Programming using C/C++,,
year 1,ICTM,Computer Organization and Architecture,,
year 1,ICTM,Computer Applications,,
year 1,ICTM,HIV/AIDS,,
year 1,ICTM,Discrete Structures,,
year 1,ICTM,Probability and Statistics,,
year 1,ICTM,Data Communications,,
year 1,ICTM,Digital Systems,,
year 1,ICTM,Web Design and Publishing,,
year 1,ICTM,Operating Systems,,
year 1,ICTM,Object Oriented Programming in Java,,
year 1,ICTM,Database Management Systems,,
year 1,INFORMATION SYSTEMS,Fundamentals of Computers Systems,,
year 1,INFORMATION SYSTEMS,Mathematics for IT,,
year 1,INFORMATION SYSTEMS,Principles of Accounting,,
year 1,INFORMATION SYSTEMS,Communication Skills,,
year 1,INFORMATION SYSTEMS,General Economics,,
year 1,INFORMATION SYSTEMS,Structured Programming,,
year 1,INFORMATION SYSTEMS,HIV and AIDS,,
year 1,INFORMATION SYSTEMS,Probability and Statistics,,
year 1,INFORMATION SYSTEMS,Internet Computing,,
year 1,INFORMATION SYSTEMS,Operating Systems,,
year 1,INFORMATION SYSTEMS,Object Oriented Programming I,,
year 1,INFORMATION SYSTEMS,Data Communications  ,,
year 1,INFORMATION SYSTEMS,Multimedia systems,,
year 1,Information technology,Discrete Structures I,,
year 1,Information technology,Mathematics for IT,,
year 1,Information technology,Electrical Principles,,
year 1,Information technology,Fundamentals of IT,,
year 1,Information technology,Computer Applications,,
year 1,Information technology,Fundamentals of Programming,,
year 1,Information technology,Communication Skills,,
year 1,Information technology,HIV/AIDS,,
year 1,Information technology,Probability and statistics,,
year 1,Information technology,Computer Architecture,,
year 1,Information technology,Linear Algebra,,
year 1,Information technology,Object-Oriented Programming I,,
year 1,Information technology,Platform technologies I,,
year 1,Information technology,Discrete Structures II,,
year 1,Information technology,System Analysis and Design,,
year 1,Information technology,Data communications,,
year 2,computer science,Object Oriented Programming II (Java) ,,
year 2,computer science,Data Structures and Algorithms,,
year 2,computer science,Probability and Statistics,,
year 2,computer science,Digital Electronics II,,
year 2,computer science,Principles of Operating Systems,,
year 2,computer science,Digital and Analogue Communication Systems,,
year 2,computer science,Systems Analysis and Design ,,
year 2,computer science,Computer Organization and architecture ,,
year 2,computer science,Assembly Language Programming,,
year 2,computer science,Application Development for the Internet,,
year 2,computer science,Data Communications,,
year 2,computer science,Automata Theory,,
year 2,computer science,Web Design and Publishing,,
year 2,computer science,Group Project,,
year 2,computer science,Visual Basic Programming ,,
year 2,Computer technology,Object Oriented programming II,,
year 2,Computer technology,Data Structures and Algorithms,,
year 2,Computer technology,Engineering Mathematics III,,
year 2,Computer technology, Digital Electronics I,,
year 2,Computer technology,Comp. Org. & Assm. Lang. Programming,,
year 2,Computer technology,Databases,,
year 2,Computer technology,Electronics III,,
year 2,Computer technology,Principles of Operating Systems,,
year 2,Computer technology,Digital Electronics II,,
year 2,Computer technology,Circuits and Systems ,,
year 2,Computer technology,Engineering Mathematics IV,,
year 2,Computer technology,Data Communications,,
year 2,Computer technology,Automata Theory,,
year 2,Computer technology,Signals and Systems,,
year 2,Computer technology,Applied probability and Statistics,,
year 2,Computer technology,Applied Electromagnetics,,
year 2,DIPLOMA IN IT,Object Oriented Programming using Java,,
year 2,DIPLOMA IN IT,Systems Analysis and Design,,
year 2,DIPLOMA IN IT,Discrete structures for Information Technology,,
year 2,DIPLOMA IN IT,Mathematics for Information Technology,,
year 2,DIPLOMA IN IT,Fundamentals of Programming.,,
year 2,DIPLOMA IN IT,Introduction to Internet and Internet Technologies.,,
year 2,DIPLOMA IN IT,Project,,
year 2,DIPLOMA IN IT,Network and Systems Administration,,
year 2,DIPLOMA IN IT,Data Structures and Algorithms,,
year 2,DIPLOMA IN IT,Management Information Systems,,
year 2,DIPLOMA IN IT,Mobile Applications Design and Programming,,
year 2,DIPLOMA IN IT,Fundamentals of Database Management Systems,,
year 2,DIPLOMA IN IT,Web Design and Authoring.,,
year 2,DIPLOMA IN IT,Project,,
year 2,ICTM,Organizational Processes I,,
year 2,ICTM,Computer Networks,,
year 2,ICTM,Internet Technology,,
year 2,ICTM,Systems Support,,
year 2,ICTM,Data Structures and Algorithms,,
year 2,ICTM,Object Oriented Programming in VB,,
year 2,ICTM,Database Management Systems Labs,,
year 2,ICTM,Programming project,,
year 2,ICTM,Operations Management,,
year 2,ICTM,Customer Care,,
year 2,ICTM,Messaging and Communication,,
year 2,ICTM,Work Flow Applications,,
year 2,ICTM,Office Applications Programming,,
year 2,ICTM,Security in Applications,,
year 2,ICTM,Structured Programming Models,,
year 2,ICTM,ICT Consultancy Project,,
year 2,Information technology,Object-Oriented Programming II,,
year 2,Information technology,Data Structures and Algorithms,,
year 2,Information technology,Computer Networks,,
year 2,Information technology,Web Systems and Technologies,,
year 2,Information technology,Unix Operating System Fundamentals,,
year 2,Information technology,Event Driven Programming,,
year 2,Information technology,Computer networks lab I,,
year 2,Information technology,Databases Systems,,
year 2,Information technology,Computer Aided Design,,
year 2,Information technology,Networking Administration and Management,,
year 2,Information technology,Research Methods and Technical Writing,,
year 2,Information technology,Group Project,,
year 2,Information technology,Object Oriented Analysis and Design,,
year 2,Information technology,Computer Networks lab II,,
year 2,Information technology,Software Engineering,,
year 2,Information technology,System Administration and Management,,
year 3,computer science,Principles of programming languages,,
year 3,computer science,Design and Analysis of algorithms,,
year 3,computer science,Intro. to Compiler Construction and Design,,
year 3,computer science,Computer Networks,,
year 3,computer science,Information Systems Security and Design,,
year 3,computer science,Unix Operating Systems      ,,
year 3,computer science,Intelligent Systems,,
year 3,computer science,Computer Networks Lab I (CISCO),,
year 3,computer science,Database Administration,,
year 3,computer science,Group Project,,
year 3,computer science,Human Computer Interaction,,
year 3,computer science,Project II ,,
year 3,computer science,Software Engineering,,
year 3,computer science,Research Methods and Technical Writing ,,
year 3,computer science,Computer Graphics,,
year 3,computer science,Mobile Computing,,
year 3,computer science,Computer Networks Lab II (CISCO II),,
year 3,computer science,Network Administration,,
year 3,computer science,Introduction to Expert Systems,,
year 3,Computer technology,Computer Architecture I,,
year 3,Computer technology,Digital Signal Processing,,
year 3,Computer technology,Intro. Compiler Const. & Design,,
year 3,Computer technology,Computer Networks,,
year 3,Computer technology,Digital Systems Design,,
year 3,Computer technology,Digital Systems Design Lab,,
year 3,Computer technology,Communication Systems,,
year 3,Computer technology,Group Project I,,
year 3,Computer technology,Computer Networks Lab I (Cisco I),,
year 3,Computer technology,Computer Architecture II,,
year 3,Computer technology,Human Computer Interaction,,
year 3,Computer technology,Mobile Computing,,
year 3,Computer technology,Software Engineering,,
year 3,Computer technology,Embedded Computing Systems I,,
year 3,Computer technology,Digital Communications Systems,,
year 3,Computer technology,Group Project II,,
year 3,Computer technology,Computer Networks Lab II (Cisco II),,
year 3,INFORMATION SYSTEMS,Internet Marketing,,
year 3,INFORMATION SYSTEMS,Introduction to Management,,
year 3,INFORMATION SYSTEMS,Unix Operating System,,
year 3,INFORMATION SYSTEMS,MIS Group Project I ,,
year 3,INFORMATION SYSTEMS,Information Systems Security,,
year 3,INFORMATION SYSTEMS,Social Networking and Cyber Security,,
year 3,INFORMATION SYSTEMS,System Administration and Management,,
year 3,INFORMATION SYSTEMS,Artificial Intelligence,,
year 3,INFORMATION SYSTEMS,Project Management for Information Technology,,
year 3,INFORMATION SYSTEMS,Research Methodology,,
year 3,INFORMATION SYSTEMS,Business Process Management,,
year 3,INFORMATION SYSTEMS,Economics in the Information Age,,
year 3,INFORMATION SYSTEMS,MIS Group Project II,,
year 3,INFORMATION SYSTEMS,ICT and Society,,
year 3,INFORMATION SYSTEMS,Internet Computing,,
year 3,INFORMATION SYSTEMS,Business Information Systems and Management,,
year 3,INFORMATION SYSTEMS,Database Administration,,
year 3,INFORMATION SYSTEMS,Industrial Attachment,,
year 3,Information technology,Design and Analysis of Algorithms,,
year 3,Information technology,Advanced Database Systems,,
year 3,Information technology,Information Assurance and Security I,,
year 3,Information technology,IT Project I (Proposal Writing),,
year 3,Information technology,Information management,,
year 3,Information technology,Information Technology Control and Audit I,,
year 3,Information technology,Database Administration,,
year 3,Information technology,Computer networks lab III,,
year 3,Information technology,Multimedia and Graphics Systems,,
year 3,Information technology,Software Testing and Measurement,,
year 3,Information technology,Human Computer Interaction,,
year 3,Information technology,Integrative programming and technologies,,
year 3,Information technology,Group Project (Project Implementation),,
year 3,Information technology,Artificial Intelligence,,
year 3,Information technology,Wireless and Mobile Computing,,
year 3,Information technology,Web systems and Technologies II,,
year 3,Information technology,Design Thinking and Human Centered Design,,
year 3,Information technology,Mobile Programming,,
year 3,Information technology,Computer Graphics,,
year 3,Information technology,Simulation and Modelling,,
year 3,Information technology,Computer Networks Lab 4,,
year 3,Information technology,Industrial attachment,,
year 4,computer science,Software Project Management,,
year 4,computer science,Computer Science Project I,,
year 4,computer science,Management Information Systems,,
year 4,computer science,Distributed Systems,,
year 4,computer science,Computer Networks Lab III (CISCO III),,
year 4,computer science,Data Mining,,
year 4,computer science,Principles of Functional Programming,,
year 4,computer science,Advanced Computer Architectures,,
year 4,computer science,Intelligent Agents,,
year 4,computer science,Neural Networks, ,
year 4,computer science,Social Legal and ethical issues in Computing,,
year 4,computer science,Computer Science Project II,,
year 4,computer science,Computer Networks Lab IV (CISCO IV),,
year 4,computer science,Natural Language Processing,,
year 4,computer science,Pattern Recognition,,
year 4,computer science,Advanced Database Systems,,
year 4,computer science, ,,
year 4,computer science,Advanced Compiler Construction and Design,,
year 4,Computer technology,Computer Systems Engineering I ,,
year 4,Computer technology,Computer Design Lab,,
year 4,Computer technology,Computer Technology project I,,
year 4,Computer technology,Neural Networks,,
year 4,Computer technology,Principles of Functional Programming,,
year 4,Computer technology,Embedded Computing Systems II,,
year 4,Computer technology,Simulation and Modeling,,
year 4,Computer technology,Intelligent Agents,,
year 4,Computer technology,Computer Networks Lab III (Cisco III), ,
year 4,Computer technology,Data Mining, , 
year 4,Computer technology,Computer-Aided Analysis and Design,,
year 4,Computer technology,Computer Technology Project II,,
year 4,Computer technology,Social and Professional Issues (from sem 1),,
year 4,Computer technology,Entrepreneurship and Small Business Management,,
year 4,Computer technology,Computer Systems Engineering II,,
year 4,Computer technology,Natural Language Processing,,
year 4,Computer technology,Pattern Recognition,,
year 4,Computer technology,Computer Networks Lab IV (Cisco IV),,
year 4,ICTM,Strategic Business Management,,
year 4,ICTM,Management Information Systems,,
year 4,ICTM,Business Intelligence,,
year 4,ICTM,Software Engineering,,
year 4,ICTM,People Management,,
year 4,ICTM,Information Systems Strategy,,
year 4,ICTM,Information Security Management,,
year 4,ICTM,Application of Emerging Technology,,
year 4,ICTM,Web Design - Server Side,,
year 4,ICTM,Software Evaluation Techniques,,
year 4,ICTM,Mobile Application Development,,
year 4,ICTM,Customer Relationship Management,,
year 4,ICTM,Ethical Issues in Information Technology,,
year 4,ICTM,IT Project Management,,
year 4,ICTM,Security Policies,,
year 4,ICTM,Change Management,,
year 4,ICTM,Information Systems Audits,,
year 4,ICTM,Managing the IT Investment,,
year 4,ICTM,Entrepreneurship,,
year 4,ICTM,Analysis of Infrastructure Requirements,,
year 4,ICTM,Emerging Database Technologies & Applications,,
year 4,ICTM,Software Implementation Techniques,,
year 4,ICTM,Software Quality Assurance,,
year 4,ICTM,Decision Making Systems,,
year 4,ICTM,IT Service Cost & Availability Management,,
year 4,ICTM,Supply Chain Management,,
year 4,INFORMATION SYSTEMS,Management Research Project,,
year 4,INFORMATION SYSTEMS,Entrepreneurship Skills,,
year 4,INFORMATION SYSTEMS,ICT Strategic Management,,
year 4,INFORMATION SYSTEMS,Data Warehousing and Data mining,,
year 4,INFORMATION SYSTEMS,MIS Individual Project 1,,
year 4,INFORMATION SYSTEMS,Business Process Management,,
year 4,INFORMATION SYSTEMS,Content Development and Management,,
year 4,INFORMATION SYSTEMS,Distributed Systems,,
year 4,INFORMATION SYSTEMS,Information Systems Innovations and New Technologies,,
year 4,INFORMATION SYSTEMS,Special Topics in MIS,,
year 4,INFORMATION SYSTEMS,Managerial Decision Making,,
year 4,INFORMATION SYSTEMS,MIS Individual Project 2,,
year 4,INFORMATION SYSTEMS,Decision Support Systems,,
year 4,INFORMATION SYSTEMS,Knowledge Management,,
year 4,INFORMATION SYSTEMS,Management Research Project,,
year 4,INFORMATION SYSTEMS,Large Scale Software Systems,,
year 4,INFORMATION SYSTEMS,Security Engineering Principles,,
year 4,INFORMATION SYSTEMS,Cloud Computing and Emerging Applications,,
year 4,Information technology,Software Project Management,,
year 4,Information technology,E-Commerce,,
year 4,Information technology,IT project ,,
year 4,Information technology,Distributed Systems,,
year 4,Information technology,Management Information Systems,,
year 4,Information technology,IT and Society,,
year 4,Information technology,"Mobile Devices, Technologies, and Programming",,
year 4,Information technology,Web Applications and Programming,,
year 4,Information technology,Content Development and Management,,
year 4,Information technology,Entrepreneurship and Small Business Management,,
year 4,Information technology,IT project II,,
year 4,Information technology,Cryptography and Application,,
year 4,Information technology,Social and Professional Issues In IT,,
year 4,Information technology,IT and Development,,
year 4,Information technology,Mobile Technology Applications and M-Commerce,,
year 4,Information technology,Mobile Embedded Hardware Platforms & Architectures,,
year 4,Information technology,Cloud Computing and Emerging Applications,,
year 4,Information technology,Network Security,,
year 4,Information technology,Authentication Protocols and Biometrics,,
year 4,Information technology,Information Systems Innovations & New Technologies,,
